cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,cpu_percent_avg,cpu_percent,cpu_user_0,cpu_nice_0,cpu_system_0,cpu_idle_0,cpu_iowait_0,cpu_irq_0,cpu_softirq_0,cpu_steal_0,cpu_guest_0,cpu_guest_nice_0,mem_total,mem_available,mem_percent,mem_used,mem_free,mem_active,mem_inactive,mem_buffers,mem_cached,mem_shared,mem_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,disk_total,disk_used,disk_free,disk_percent,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_read_merged_count,disk_write_merged_count,disk_busy_time,net_bytes_sent,net_bytes_recv,net_packets_sent,net_packets_recv,net_errin,net_errout,net_dropin,net_dropout,timestamp,crypto_running
9.4,0,0,0,0,0,0,90.6,0,0,100,100,9.4,0,0,0,0,0,0,90.6,0,0,1016025088,426393600,58,436465664,193552384,184451072,517021696,42905600,343101440,839680,67592192,0,0,0,0,0,0,10340794368,4188618752,6135398400,40.6,14271,34035,571810304,280535040,59199,104807,4104,11119,101344,1750656,1789196,8642,9061,0,0,0,0,1637920338,1
18.3,0,0,0,0,0,0,81.7,0,0,100,100,18.3,0,0,0,0,0,0,81.7,0,0,1016025088,426401792,58,436457472,193552384,184463360,517017600,42913792,343101440,839680,67592192,0,0,0,0,0,0,10340794368,4188618752,6135398400,40.6,14271,34044,571810304,280584192,59199,104815,4104,11122,101352,1750722,1789248,8643,9062,0,0,0,0,1637920353,1
22.4,0,0.1,0,0,0,0,77.5,0,0,100,100,22.4,0,0.1,0,0,0,0,77.5,0,0,1016025088,426401792,58,436457472,193552384,184459264,517021696,42913792,343101440,839680,67592192,0,0,0,0,0,0,10340794368,4188618752,6135398400,40.6,14271,34044,571810304,280584192,59199,104815,4104,11122,101352,1752355,1790343,8651,9070,0,0,0,0,1637920369,1
13.9,0,0,0,0,0,0,86,0,0,100,100,13.9,0,0,0,0,0,0,86,0,0,1016025088,426414080,58,436445184,193552384,184467456,517025792,42921984,343105536,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34081,571810304,280784896,59199,104974,4104,11129,101400,1752614,1790552,8654,9073,0,0,0,0,1637920384,1
35.1,0,0,0,0,0,0,64.9,0,0,100,100,35.1,0,0,0,0,0,0,64.9,0,0,1016025088,426430464,58,436428800,193552384,184483840,517025792,42938368,343105536,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34126,571810304,281010176,59199,105153,4104,11138,101456,1752722,1790646,8656,9075,0,0,0,0,1637920399,1
19.2,0,0.1,0,0,0,0,80.8,0,0,100,100,19.2,0,0.1,0,0,0,0,80.8,0,0,1016025088,426500096,58,436338688,193552384,184500224,517079040,42954752,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34140,571810304,281100288,59199,105166,4104,11146,101476,1753035,1790966,8660,9081,0,0,0,0,1637920414,1
99.7,0,0.3,0,0,0,0,0,0,0,100,100,99.7,0,0.3,0,0,0,0,0,0,0,1016025088,426262528,58,436596736,193294336,184500224,517099520,42954752,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34226,571810304,281485312,59199,105782,4104,11146,101560,1754668,1792410,8668,9089,0,0,0,0,1637920429,1
7.2,0,0,0,0,0,0,92.8,0,0,100,100,7.2,0,0,0,0,0,0,92.8,0,0,1016025088,426262528,58,436596736,193294336,184500224,517099520,42962944,343171072,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34230,571810304,281530368,59199,105821,4104,11153,101616,1754734,1792462,8669,9090,0,0,0,0,1637920444,1
20.1,0,0,0,0,0,0,79.9,0,0,100,100,20.1,0,0,0,0,0,0,79.9,0,0,1016025088,426270720,58,436588544,193294336,184508416,517099520,42962944,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34231,571810304,281534464,59199,105821,4104,11153,101620,1754884,1792598,8672,9093,0,0,0,0,1637920459,1
21.6,0,0.1,0,0,0,0,78.2,0,0,100,100,21.6,0,0.1,0,0,0,0,78.2,0,0,1016025088,426270720,58,436588544,193294336,184508416,517099520,42962944,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34232,571810304,281538560,59199,105823,4104,11153,101624,1756583,1793693,8681,9101,0,0,0,0,1637920474,1
19.2,0,0.1,0,0,0,0,80.8,0,0,100,100,19.2,0,0.1,0,0,0,0,80.8,0,0,1016025088,426278912,58,436580352,193294336,184516608,517099520,42971136,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34235,571810304,281575424,59199,105826,4104,11159,101640,1758483,1794965,8692,9111,0,0,0,0,1637920489,1
99.7,0,0.3,0,0,0,0,0,0,0,100,100,99.7,0,0.3,0,0,0,0,0,0,0,1016025088,426278912,58,436580352,193294336,184516608,517099520,42971136,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34279,571810304,281759744,59199,105962,4104,11159,101664,1758549,1795017,8693,9112,0,0,0,0,1637920504,1
9,0,0,0,0,0,0,91,0,0,100,100,9,0,0,0,0,0,0,91,0,0,1016025088,426287104,58,436572160,193294336,184524800,517099520,42979328,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34322,571810304,281972736,59199,106001,4104,11163,101672,1758699,1795153,8696,9115,0,0,0,0,1637920519,1
16.3,0,0,0,0,0,0,83.7,0,0,100,100,16.3,0,0,0,0,0,0,83.7,0,0,1016025088,426287104,58,436572160,193294336,184528896,517095424,42979328,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34323,571810304,281976832,59199,106001,4104,11163,101676,1758765,1795205,8697,9116,0,0,0,0,1637920534,1
100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,1016025088,426287104,58,436563968,193294336,184528896,517095424,42987520,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188622848,6135394304,40.6,14271,34325,571810304,282001408,59199,106003,4104,11167,101684,1759008,1795372,8700,9118,0,0,0,0,1637920549,1
10,0,0,0,0,0,0,90,0,0,100,100,10,0,0,0,0,0,0,90,0,0,1016025088,426299392,58,436555776,193294336,184537088,517099520,42995712,343179264,839680,67592192,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34366,571810304,282214400,59199,106326,4104,11173,101732,1759140,1795825,8702,9120,0,0,0,0,1637920565,1
